Rank,POS,PLAYER,AllStar,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,_PPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile
389,SF,Joe Johnson,0,33,Ball Stoppers,No,Houston Rockets,8.5,0.95,0.86,-0.089,-0.8,8,7.3,384,20,0.2,2.1,2.1,296,38,5.9,5.2,-1,-33.1,19
394,PG,Derrick Rose,0,16,Distributors,No,,11.3,0.964,0.872,-0.092,-1,10.8,9.8,427,11,0,6.2,6.2,228,53,4.7,3.6,-1,-16.5,17.9
453,PG,Kay Felder,0,14,Rock Pounders,No,Chicago Bulls,6.4,0.899,0.611,-0.287,-1.8,5.8,3.9,470,2,-0.1,2.5,1.9,184,62,3.3,2.1,-1.7,-24,5.6
283,PF,Harrison Barnes,0,56,Ball Stoppers,No,Dallas Mavericks,18.3,0.956,0.982,0.026,0.5,17.5,18,100,79,0.9,8.5,8.7,438,9,9,9.3,-0.5,-26.3,41
384,PG,Milos Teodosic,0,27,Distributors,Yes,Los Angeles Clippers,11,0.91,0.838,-0.072,-0.8,10,9.2,391,19,0.2,7.9,8.3,285,41,2,0.9,-1,-26.4,20
461,C,Zhou Qi,0,14,Stretch Bigs,Yes,Houston Rockets,2.4,1.01,0.5,-0.51,-1.2,2.5,1.2,445,7,0.7,2,2.8,402,16,0.4,-1.6,-1.9,-26.5,4
443,SG,Malik Monk,0,36,Secondary Creators,Yes,Charlotte Hornets,6.8,0.929,0.82,-0.11,-0.7,6.3,5.6,379,21,0.8,3.7,4.1,415,14,2.6,1.5,-1.5,-54.1,7.7
391,SG,Sean Kilpatrick,0,35,Glue Guys,No,Milwaukee Bucks,5.5,0.967,0.833,-0.134,-0.7,5.3,4.6,377,21,0.3,1.2,1.2,311,35,4.1,3.4,-1,-35.6,18.5
350,SF,Dwayne Bacon,0,35,Spot-Up Wings,Yes,Charlotte Hornets,3.9,0.948,0.745,-0.203,-0.8,3.7,2.9,393,18,0,4.7,4.7,219,54,-1,-1.7,-0.8,-27.3,27.1
301,PF,Michael Beasley,0,52,Ball Stoppers,No,New York Knicks,13.5,0.969,0.957,-0.012,-0.2,13,12.9,231,52,0.4,5.7,5.8,333,31,7.4,7,-0.5,-27.4,37.3
298,SG,Alex Abrines,0,53,Spot-Up Wings,No,Oklahoma City Thunder,4.8,0.984,1.012,0.028,0.1,4.7,4.8,153,68,0.7,4.7,5,401,16,-0.1,-0.2,-0.5,-27.5,37.9
399,SF,Torrey Craig,0,26,Reluctant Shooters,No,Denver Nuggets,4.5,1.048,0.94,-0.108,-0.5,4.7,4.2,317,34,0.6,6.3,6.8,380,21,-1.5,-2.6,-1.1,-27.7,16.9
307,PF,Mario Hezonja,0,50,Spot-Up Wings,No,Orlando Magic,8.7,0.992,1,0.008,0.1,8.6,8.7,170,65,0.6,6.9,7.3,393,18,1.7,1.4,-0.6,-27.7,36
315,SF,Maurice Harkless,0,47,Reluctant Shooters,No,Portland Trail Blazers,5.9,1.004,0.949,-0.055,-0.3,5.9,5.6,270,44,0.3,6.4,6.6,305,36,-0.5,-1,-0.6,-27.7,34.4
434,SG,Wayne Selden,0,20,Secondary Creators,No,Memphis Grizzlies,9.7,0.951,0.856,-0.096,-0.9,9.2,8.3,413,14,0.5,5.5,6.1,361,25,3.7,2.2,-1.4,-28,9.6
348,C,Tristan Thompson,0,36,Unskilled Bigs,No,Cleveland Cavaliers,5.6,1.075,1.089,0.014,0.1,6.1,6.1,166,65,0.9,9.6,10.3,427,11,-3.5,-4.2,-0.8,-28.1,27.5
397,C,Timofey Mozgov,0,27,Bigs-with-Touch,No,Brooklyn Nets,4.6,1.03,0.904,-0.126,-0.6,4.8,4.2,344,28,0.5,7.5,7.7,359,25,-2.7,-3.5,-1,-28.3,17.3
291,SF,PJ Tucker,0,57,Stretch Bigs,No,Houston Rockets,6.1,0.993,0.913,-0.08,-0.5,6,5.5,316,34,0,8.5,8.8,237,51,-2.5,-3.3,-0.5,-28.4,39.4
294,SF,Denzel Valentine,0,57,Secondary Creators,No,Chicago Bulls,10.5,0.949,0.928,-0.021,-0.2,10,9.8,246,49,0.3,7.7,7.7,309,36,2.3,2,-0.5,-28.6,38.8
400,PG,Mike James,0,32,Rock Pounders,Yes,Phoenix Suns,12.8,0.892,0.822,-0.071,-0.9,11.4,10.5,407,15,0.2,7.3,7.2,280,42,4.1,3.3,-1.1,-34.4,16.7
297,SF,TJ Warren,0,56,Reluctant Shooters,No,Phoenix Suns,18.9,1,1.014,0.014,0.3,18.9,19.2,129,73,0.8,8.1,8.1,419,13,10.9,11.2,-0.5,-28.9,38.1
302,C,Marc Gasol,0,55,Versatile Bigs,No,Memphis Grizzlies,19.5,0.977,0.887,-0.09,-1.8,19,17.3,467,3,-1.2,13.6,12.6,32,93,5.4,4.7,-0.5,-29.1,37.1
262,SF,Dante Cunningham,0,54,Stretch Bigs,No,Brooklyn Nets,5.1,1.066,0.957,-0.109,-0.6,5.5,4.9,338,30,-0.2,2.2,2.1,165,66,3.3,2.8,-0.4,-19.9,45.4
318,SF,Michael Kidd-Gilchrist,0,50,Reluctant Shooters,No,Charlotte Hornets,9.7,1.029,1.002,-0.027,-0.3,10,9.7,257,46,0.4,10.4,11.2,332,31,-0.4,-1.5,-0.6,-30.9,33.8
388,SF,Shabazz Muhammad,0,31,Point Forwards,No,Minnesota Timberwolves,4.4,1.023,0.853,-0.17,-0.7,4.5,3.7,380,21,0.3,2.1,2,298,38,2.3,1.7,-1,-30.9,19.2
316,SF,Josh Huestis,0,53,Stretch Bigs,No,Oklahoma City Thunder,3.1,1.02,0.705,-0.315,-1,3.2,2.2,421,12,-0.4,5,4.7,120,75,-1.8,-2.5,-0.6,-31.6,34.2
439,PG,Jameer Nelson,0,46,Distributors,No,Detroit Pistons,6.5,0.911,0.805,-0.107,-0.7,5.9,5.2,364,24,0.8,4.1,4.2,416,13,1.7,1,-1.5,-67.3,8.5
314,SG,Allen Crabbe,0,55,Off-Ball Workers,No,Brooklyn Nets,12.6,0.976,0.983,0.006,0.1,12.3,12.3,165,66,0.7,7.8,7.7,403,16,4.5,4.6,-0.6,-32,34.6
280,SF,Trevor Booker,0,48,Bigs-with-Touch,No,Brooklyn Nets,7,1.02,0.964,-0.056,-0.4,7.2,6.8,290,40,0.1,3.5,3.9,261,46,3.6,2.9,-0.5,-22,41.7
372,C,Joffrey Lauvergne,0,38,Roll-and-Cut Bigs,No,San Antonio Spurs,4.8,1.018,0.902,-0.116,-0.6,4.9,4.4,339,29,0.3,4.5,4.8,322,33,0.4,-0.4,-0.9,-33.5,22.5
333,SF,Malik Beasley,0,48,Spot-Up Wings,No,Denver Nuggets,3.7,1.008,0.86,-0.148,-0.6,3.7,3.2,331,31,0.1,2.3,2.6,275,43,1.4,0.6,-0.7,-33.6,30.6
323,SG,Josh Hart,0,51,Stretch Bigs,Yes,Los Angeles Lakers,5.9,1.006,1.063,0.057,0.3,5.9,6.3,115,76,1,7.7,8.6,443,8,-1.7,-2.3,-0.7,-33.7,32.7
414,SF,Abdel Nader,0,28,Spot-Up Wings,Yes,Boston Celtics,3.6,0.99,0.73,-0.26,-0.9,3.5,2.6,412,14,0.3,3.1,3.2,313,35,0.5,-0.6,-1.2,-34.2,13.8
390,PG,Tyler Ennis,0,34,Distributors,No,Los Angeles Lakers,4.2,0.936,0.746,-0.189,-0.8,3.9,3.1,392,18,0.2,4,4.4,290,40,-0.1,-1.3,-1,-34.4,18.8
358,SF,Justin Jackson,0,43,Spot-Up Wings,Yes,Sacramento Kings,6.5,1.01,0.932,-0.078,-0.5,6.6,6.1,324,33,0.3,5.3,5.4,318,34,1.3,0.7,-0.8,-34.7,25.4
324,SF,Evan Turner,0,55,Secondary Creators,No,Portland Trail Blazers,9.4,0.928,0.874,-0.054,-0.5,8.7,8.2,326,32,0.2,8.9,9,276,43,-0.2,-0.8,-0.7,-36.4,32.5
319,PG,Patty Mills,0,59,Secondary Creators,No,San Antonio Spurs,9.6,0.918,0.981,0.062,0.6,8.8,9.4,87,82,1.2,4.7,5.3,459,4,4.1,4.1,-0.6,-36.6,33.5
387,PG,Matthew Dellavedova,0,37,Distributors,No,Milwaukee Bucks,5.5,0.896,0.765,-0.132,-0.7,4.9,4.2,374,22,0.3,6,5.7,302,37,-1.1,-1.5,-1,-36.7,19.4
368,SG,Terrance Ferguson,0,43,Stretch Bigs,Yes,Oklahoma City Thunder,3.1,1.007,0.918,-0.089,-0.3,3.1,2.9,262,45,0.6,4.4,4.7,384,20,-1.2,-1.9,-0.9,-37.2,23.3
328,SG,Will Barton,0,56,Distributors,No,Denver Nuggets,15.2,0.951,0.959,0.008,0.1,14.5,14.6,159,67,0.8,8.4,8.5,418,13,6,6.1,-0.7,-37.5,31.7
423,PG,Frank Mason,0,29,Distributors,Yes,Sacramento Kings,9.1,0.927,0.829,-0.098,-0.9,8.4,7.5,405,16,0.4,5.1,5,342,29,3.3,2.5,-1.3,-37.6,11.9
337,SF,Brandon Ingram,0,52,Creators,No,Los Angeles Lakers,17.8,0.945,0.905,-0.04,-0.7,16.8,16.1,371,23,0,6.7,6.1,239,50,10.1,10,-0.7,-37.7,29.8
334,PF,Dario Saric,0,54,Pick and Pop Bigs,No,Philadelphia 76ers,14.6,1.012,0.997,-0.015,-0.2,14.8,14.6,242,50,0.5,9.8,9.9,363,24,5,4.6,-0.7,-37.8,30.4
338,PF,Maxi Kleber,0,52,Pick and Pop Bigs,Yes,Dallas Mavericks,5.2,1.061,1.03,-0.031,-0.2,5.5,5.3,232,52,0.6,8,8.4,376,22,-2.4,-3,-0.7,-38.1,29.6
329,SF,Kelly Oubre Jr.,0,57,Spot-Up Wings,No,Washington Wizards,11.6,0.986,1.005,0.018,0.2,11.5,11.7,144,70,0.9,8.4,8.8,430,10,3,2.9,-0.7,-38.2,31.5
376,SG,Arron Afflalo,0,43,Spot-Up Wings,No,Orlando Magic,3.7,0.976,0.861,-0.115,-0.4,3.6,3.2,297,38,0.5,2.8,3.3,364,24,0.7,-0.1,-0.9,-39,21.7
353,C,Mason Plumlee,0,50,Roll-and-Cut Bigs,No,Denver Nuggets,8.1,1.02,0.909,-0.111,-0.9,8.3,7.4,406,15,-0.1,9.3,9.3,190,60,-1,-1.9,-0.8,-39.5,26.5
355,C,Jarrett Allen,0,50,Unskilled Bigs,Yes,Brooklyn Nets,7,1.073,1.08,0.006,0,7.6,7.6,172,64,0.8,10.2,10.5,425,11,-2.7,-2.9,-0.8,-39.7,26
364,SG,Kentavious Caldwell-Pope,0,48,Off-Ball Workers,No,Los Angeles Lakers,13.1,0.993,0.968,-0.025,-0.3,13,12.7,274,43,0.5,10.6,11,372,23,2.4,1.6,-0.8,-40.3,24.2
354,SF,Wilson Chandler,0,51,Reluctant Shooters,No,Denver Nuggets,10.1,0.985,0.913,-0.072,-0.7,10,9.3,376,22,0.1,7.9,7.9,257,46,2.1,1.4,-0.8,-40.4,26.3
382,PF,Justise Winslow,0,44,Reluctant Shooters,No,Miami Heat,7.8,0.974,0.788,-0.185,-1.5,7.6,6.2,459,4,-0.5,8.1,8,105,78,-0.5,-1.8,-1,-42.1,20.4
429,PF,Kenneth Faried,0,32,Unskilled Bigs,No,Denver Nuggets,6.1,1.038,0.949,-0.089,-0.5,6.4,5.8,329,31,0.8,5.9,6.5,422,12,0.5,-0.7,-1.4,-43.4,10.6
352,SF,Dillon Brooks,0,56,Glue Guys,Yes,Memphis Grizzlies,9.6,0.96,0.937,-0.023,-0.2,9.3,9,243,49,0.6,9.6,10.2,375,22,-0.3,-1.2,-0.8,-43.9,26.7
374,SG,Norman Powell,0,49,Glue Guys,No,Toronto Raptors,7.1,0.969,0.842,-0.127,-0.9,6.9,6,408,15,0,5.1,4.8,227,53,1.8,1.2,-0.9,-44.3,22.1
351,SF,Wesley Matthews,0,57,Glue Guys,No,Dallas Mavericks,13.2,0.958,0.98,0.022,0.3,12.6,12.9,125,74,1.1,9.6,9.9,453,6,3,3.1,-0.8,-44.6,26.9
426,SG,Ben McLemore,0,34,Spot-Up Wings,No,Memphis Grizzlies,7.1,0.991,0.867,-0.123,-0.9,7,6.1,403,16,0.5,5.6,6.2,356,26,1.4,-0.1,-1.3,-45.3,11.3
377,PG,Mario Chalmers,0,50,Distributors,No,Memphis Grizzlies,9.6,0.916,0.795,-0.12,-1.2,8.8,7.6,439,9,-0.2,6.5,6.3,152,68,2.3,1.3,-0.9,-45.4,21.5
360,SG,E'Twaun Moore,0,57,Spot-Up Wings,No,New Orleans Pelicans,11.7,1.005,1.069,0.064,0.7,11.8,12.5,70,85,1.6,8.4,8.9,470,2,3.4,3.6,-0.8,-46.6,25
380,PF,Semi Ojeleye,0,51,Stretch Bigs,Yes,Boston Celtics,3,1.021,0.806,-0.215,-0.7,3.1,2.5,355,26,0.3,4.5,4.7,310,35,-1.4,-2.3,-0.9,-47.6,20.8
381,SF,Corey Brewer,0,52,Spot-Up Wings,No,Los Angeles Lakers,4.4,1.016,0.825,-0.191,-0.8,4.5,3.6,398,17,0.1,4.4,4.3,270,44,0,-0.7,-0.9,-49.2,20.6
370,C,Gorgui Dieng,0,57,Pick and Pop Bigs,No,Minnesota Timberwolves,6.7,1.018,0.961,-0.057,-0.4,6.8,6.4,287,40,0.5,7.1,7.3,369,23,-0.3,-0.9,-0.9,-50.2,22.9
379,C,Jusuf Nurkic,0,55,Post-Up Bigs,No,Portland Trail Blazers,16,1.005,0.873,-0.132,-2.1,16.1,14,476,1,-1.2,13.7,13.3,33,93,2.4,0.7,-0.9,-50.5,21
435,PG,Lonzo Ball,0,36,Distributors,Yes,Los Angeles Lakers,14.4,0.938,0.704,-0.234,-3.4,13.5,10.1,479,0,-1.9,11.7,10.6,8,98,1.8,-0.5,-1.4,-50.6,9.4
468,PG,Emmanuel Mudiay,0,45,Distributors,No,New York Knicks,10.4,0.94,0.831,-0.109,-1.1,9.8,8.6,436,9,0.9,0.9,0.8,437,9,8.9,7.9,-2.1,-93.5,2.5
383,PG,J.J. Barea,0,53,Distributors,No,Dallas Mavericks,12.5,0.902,0.898,-0.004,-0.1,11.3,11.2,208,57,0.9,6.9,7.4,433,10,4.4,3.8,-1,-51.3,20.2
466,PG,DAngelo Russell,0,25,Rock Pounders,No,Brooklyn Nets,18.8,0.905,0.83,-0.075,-1.4,17,15.6,456,5,0.6,7.6,7,398,17,9.4,8.6,-2.1,-51.5,2.9
378,PG,Russell Westbrook,1,57,Creators,No,Oklahoma City Thunder,28.8,0.926,0.876,-0.051,-1.5,26.7,25.2,460,4,-0.5,9,8.4,96,80,17.7,16.8,-0.9,-52,21.3
475,SF,DeAndre Bembry,0,20,Glue Guys,No,Atlanta Hawks,7.1,0.947,0.674,-0.274,-1.9,6.7,4.8,471,2,0.7,5.4,6.1,406,15,1.3,-1.4,-2.6,-52,1
401,PG,Jeff Teague,0,49,Distributors,No,Minnesota Timberwolves,14.7,0.886,0.876,-0.01,-0.1,13,12.9,227,53,0.9,10.7,11.1,436,9,2.3,1.7,-1.1,-53.1,16.5
415,PG,Tim Frazier,0,43,Distributors,No,Washington Wizards,4.5,0.906,0.723,-0.182,-0.8,4.1,3.3,396,18,0.4,5.3,5.7,346,28,-1.1,-2.4,-1.3,-54,13.5
410,SG,Marcus Smart,0,46,Secondary Creators,No,Boston Celtics,13.3,0.914,0.755,-0.159,-2.1,12.1,10,475,1,-0.9,9.6,8.9,45,91,2.5,1.1,-1.2,-54.2,14.6
356,PG,Dwyane Wade,0,49,Point Forwards,No,Miami Heat,12.8,0.938,0.85,-0.088,-1.1,12,10.9,435,9,-0.3,1.3,1.2,132,73,10.7,9.7,-0.8,-39.2,25.8
412,SF,Timoth_ Luwawu-Cabarrot,0,46,Spot-Up Wings,No,Philadelphia 76ers,7.1,0.991,0.881,-0.11,-0.8,7,6.3,390,19,0.4,5.2,5.4,349,27,1.9,0.8,-1.2,-55.7,14.2
409,PG,Patrick McCaw,0,50,Glue Guys,No,Golden State Warriors,4.3,1.004,0.874,-0.129,-0.6,4.3,3.8,333,31,0.6,4.7,4.7,383,20,-0.4,-1,-1.1,-57.1,14.8
427,SG,Devin Booker,0,44,Secondary Creators,No,Phoenix Suns,24.7,0.932,0.957,0.025,0.6,23,23.7,85,82,1.9,10,10.7,476,1,13,13,-1.3,-58.8,11
408,SG,Alec Burks,0,52,Secondary Creators,No,Utah Jazz,9.1,0.955,0.941,-0.014,-0.1,8.7,8.6,224,53,1,3.7,4.5,447,7,5,4,-1.1,-59.2,15
402,SG,Buddy Hield,0,55,Secondary Creators,No,Sacramento Kings,12.6,0.967,0.967,0,0,12.2,12.2,191,60,1.1,7.4,8.3,455,5,4.8,3.9,-1.1,-59.8,16.3
424,SF,Stanley Johnson,0,46,Spot-Up Wings,No,Detroit Pistons,10,0.974,0.867,-0.107,-1.1,9.7,8.7,433,10,0.2,8.4,9,292,39,1.3,-0.3,-1.3,-59.9,11.7
465,SG,Dion Waiters,0,30,Secondary Creators,No,Miami Heat,17.1,0.927,0.836,-0.091,-1.6,15.9,14.3,462,4,0.4,8.7,9,354,26,7.1,5.3,-2,-60,3.1
406,PF,Jarell Martin,0,53,Reluctant Shooters,No,Memphis Grizzlies,7.3,1.029,0.888,-0.14,-1,7.5,6.5,425,11,0.1,7.1,7.4,271,44,0.4,-0.9,-1.1,-60.1,15.4
396,PG,Cory Joseph,0,58,Distributors,No,Indiana Pacers,8.6,0.923,0.895,-0.028,-0.2,7.9,7.7,251,48,0.8,9.5,9.9,421,12,-1.6,-2.3,-1,-60.8,17.5
407,PG,Ricky Rubio,0,54,Distributors,No,Utah Jazz,14.4,0.92,0.827,-0.093,-1.3,13.3,11.9,453,6,-0.2,9.7,9.9,164,66,3.6,2,-1.1,-61.4,15.2
403,PG,Dejounte Murray,0,58,Distributors,No,San Antonio Spurs,9.1,0.959,0.779,-0.18,-1.6,8.7,7.1,463,4,-0.6,7.1,7.4,93,81,1.7,-0.3,-1.1,-63.1,16
405,C,Thon Maker,0,56,Pick and Pop Bigs,No,Milwaukee Bucks,5.6,1.03,0.895,-0.135,-0.8,5.8,5,385,20,0.4,3.9,3.9,336,30,1.8,1.1,-1.1,-63.1,15.6
417,SG,Malcom Delaney,0,51,Distributors,No,Atlanta Hawks,7.4,0.924,0.837,-0.087,-0.6,6.8,6.2,351,27,0.6,5.9,6.1,390,19,0.9,0,-1.3,-64.1,13.1
444,C,Zach Collins,0,42,Bigs-with-Touch,Yes,Portland Trail Blazers,5.2,0.982,0.761,-0.22,-1.1,5.1,4,437,9,0.4,6,6.2,340,29,-0.9,-2.3,-1.5,-64.1,7.5
418,PF,Marquese Chriss,0,51,Pick and Pop Bigs,No,Phoenix Suns,8.4,0.987,0.816,-0.171,-1.4,8.3,6.9,458,5,-0.2,7.6,7.7,171,64,0.7,-0.9,-1.3,-64.3,12.9
416,PF,Quincy Acy,0,52,Pick and Pop Bigs,No,Brooklyn Nets,6.9,1.004,0.857,-0.147,-1,6.9,5.9,423,12,0.2,7.6,8.2,297,38,-0.7,-2.3,-1.3,-65.3,13.3
445,PG,Rajon Rondo,0,43,Distributors,No,New Orleans Pelicans,9.2,0.921,0.808,-0.113,-1,8.5,7.4,428,11,0.5,7.1,7.1,367,24,1.3,0.3,-1.5,-66,7.3
441,PG,Michael Carter-Williams,0,45,Secondary Creators,No,Charlotte Hornets,5.8,0.926,0.721,-0.205,-1.2,5.4,4.2,441,8,0.3,5.9,6.2,316,34,-0.5,-2,-1.5,-67.1,8.1
428,SG,Ian Clark,0,51,Spot-Up Wings,No,New Orleans Pelicans,6.4,0.992,0.875,-0.117,-0.7,6.4,5.6,383,20,0.6,4.8,4.7,385,20,1.6,1,-1.3,-68.4,10.8
421,PF,Kyle Kuzma,0,55,Pick and Pop Bigs,Yes,Los Angeles Lakers,16.1,1.014,0.971,-0.044,-0.7,16.3,15.6,370,23,0.6,8.4,8.5,378,21,8,7.1,-1.3,-70,12.3
420,PG,Jamal Murray,0,56,Secondary Creators,No,Denver Nuggets,16,0.94,1.004,0.065,1,15.1,16.1,48,90,2.3,6.9,8.6,480,0,8.2,7.5,-1.3,-71.2,12.5
459,PG,Jawun Evans,0,38,Glue Guys,No,Los Angeles Clippers,8,0.941,0.713,-0.228,-1.8,7.5,5.7,469,2,0.1,6.5,6.6,258,46,1,-0.9,-1.9,-71.4,4.4
457,SG,Jerryd Bayless,0,40,Spot-Up Wings,No,Philadelphia 76ers,8.2,0.998,0.936,-0.062,-0.5,8.2,7.7,325,32,1.3,7.8,8.6,464,3,0.4,-0.9,-1.8,-71.9,4.8
449,SG,Nicolas Batum,0,43,Secondary Creators,No,Charlotte Hornets,13.5,0.93,0.861,-0.069,-0.9,12.6,11.7,416,13,0.7,7.6,8.2,411,14,5,3.5,-1.7,-71.9,6.5
422,C,Bismack Biyombo,0,57,Unskilled Bigs,No,Orlando Magic,6.2,1.053,0.944,-0.109,-0.7,6.6,5.9,363,24,0.6,8.8,8.9,389,19,-2.2,-3,-1.3,-73.3,12.1
467,SG,Avery Bradley,0,46,Off-Ball Workers,No,Los Angeles Clippers,16.5,0.967,0.863,-0.104,-1.7,16,14.2,464,3,0.3,4.5,4.4,328,32,11.5,9.8,-2.1,-94.9,2.7
432,SG,Jonathon Simmons,0,56,Distributors,No,Orlando Magic,14.6,0.941,0.941,0,0,13.7,13.7,193,60,1.4,8.4,8.7,468,3,5.3,5,-1.4,-77.1,10
442,SG,Garrett Temple,0,53,Glue Guys,No,Sacramento Kings,9.3,0.967,0.897,-0.07,-0.7,9,8.4,356,26,0.8,8.1,8.8,426,11,0.9,-0.4,-1.5,-79.5,7.9
438,SG,JR Smith,0,55,Glue Guys,No,Cleveland Cavaliers,8.7,0.967,0.962,-0.005,0,8.4,8.3,203,58,1.4,9,9.9,469,2,-0.6,-1.5,-1.5,-80.3,8.8
440,PG,Frank Ntilikina,0,56,Distributors,Yes,New York Knicks,7.9,0.884,0.662,-0.221,-1.7,7,5.2,465,3,-0.3,6.3,5.8,143,70,0.6,-0.5,-1.5,-82.2,8.3
471,PF,JaMychal Green,0,36,Reluctant Shooters,No,Memphis Grizzlies,10.6,1.035,0.935,-0.101,-1.1,11,9.9,432,10,1.3,8.7,9.1,463,4,2.3,0.8,-2.4,-84.7,1.9
456,SF,Paul Zipser,0,48,Spot-Up Wings,No,Chicago Bulls,5.2,0.966,0.755,-0.211,-1.1,5,3.9,434,10,0.7,5.5,6,409,15,-0.5,-2.1,-1.8,-85.2,5
469,PG,Kris Dunn,0,41,Rock Pounders,No,Chicago Bulls,16.9,0.904,0.797,-0.107,-1.8,15.3,13.5,468,3,0.3,10.2,10.6,312,35,5.1,2.9,-2.1,-86,2.3
450,C,Willie Cauley-Stein,0,52,Versatile Bigs,No,Sacramento Kings,13.3,1.001,0.93,-0.07,-0.9,13.3,12.3,414,14,0.7,11.3,11.8,413,14,2,0.5,-1.7,-87,6.3
458,PF,Zach Randolph,0,49,Versatile Bigs,No,Sacramento Kings,15.6,0.952,0.941,-0.011,-0.2,14.8,14.6,234,51,1.6,10.9,11.4,473,1,3.9,3.2,-1.8,-88.3,4.6
451,PF,Frank Kaminsky,0,54,Pick and Pop Bigs,No,Charlotte Hornets,11,0.99,0.951,-0.039,-0.4,10.9,10.4,302,37,1.3,8.1,9.1,460,4,2.8,1.4,-1.7,-90.8,6
447,SF,Andrew Wiggins,0,60,Secondary Creators,No,Minnesota Timberwolves,19.3,0.954,0.914,-0.04,-0.8,18.4,17.6,387,19,0.8,11.3,11.4,424,12,7.1,6.2,-1.6,-96,6.9
452,PF,Dragan Bender,0,59,Stretch Bigs,No,Phoenix Suns,7,0.994,0.88,-0.115,-0.8,7,6.2,394,18,0.9,9,9.1,431,10,-2,-2.9,-1.7,-101,5.8
454,SF,Lance Stephenson,0,58,Distributors,No,Indiana Pacers,10.8,0.93,0.861,-0.069,-0.7,10,9.3,381,21,1,3.6,3.8,445,7,6.4,5.5,-1.7,-101.4,5.4
470,PG,Jarrett Jack,0,57,Rock Pounders,No,New York Knicks,9.8,0.886,0.777,-0.109,-1.1,8.6,7.6,430,10,1,8.6,9.7,448,7,0,-2.1,-2.1,-119.7,2.1
476,SF,Caris LeVert,0,50,Distributors,No,Brooklyn Nets,13.5,0.936,0.861,-0.075,-1,12.6,11.6,424,12,1.6,10.1,11.5,472,2,2.6,0.2,-2.6,-131.2,0.8
474,PG,Tyler Ulis,0,56,Rock Pounders,No,Phoenix Suns,9.1,0.899,0.739,-0.16,-1.5,8.2,6.7,461,4,1,7.2,8,446,7,1,-1.3,-2.5,-137.8,1.3
473,SF,Taurean Prince,0,59,Glue Guys,No,Atlanta Hawks,13.5,0.976,0.897,-0.079,-1.1,13.2,12.1,431,10,1.3,8.6,9.5,465,3,4.6,2.7,-2.4,-140.4,1.5
478,PG,De Aaron Fox,0,50,Distributors,No,Sacramento Kings,14.2,0.931,0.791,-0.14,-2,13.2,11.2,473,1,1.7,9.3,10.2,474,1,3.9,1,-3.7,-185.9,0.4
477,SF,Josh Jackson,0,57,Glue Guys,Yes,Phoenix Suns,13.6,0.983,0.818,-0.165,-2.2,13.4,11.1,477,1,1.3,7.9,8.5,461,4,5.5,2.6,-3.5,-200.7,0.6
479,PG,Dennis Smith Jr.,0,50,Creators,Yes,Dallas Mavericks,18.4,0.92,0.806,-0.114,-2.1,16.9,14.8,474,1,2,9.8,11,478,0,7.2,3.8,-4.1,-207.1,0.2